timestamp,timestamp_unix,d_5-4,dt_5-4,d_5-6,dt_5-6,d_6-0,dt_6-0,d_6-3,dt_6-3
2023-04-07 08:39:12.673211,1680856752,167,196,124,122,40,46,0,0
2023-04-07 09:09:12.673211,1680858552,167,182,124,121,40,43,0,0
2023-04-07 09:39:12.673211,1680860352,167,174,124,130,40,47,0,0
2023-04-07 10:09:12.673211,1680862152,167,180,124,129,40,46,0,0
2023-04-07 10:39:12.673211,1680863952,167,184,124,138,40,42,0,0
2023-04-07 11:09:12.673211,1680865752,167,189,124,132,40,44,0,0
2023-04-07 11:39:12.673211,1680867552,167,179,124,135,40,46,0,0
2023-04-07 12:09:12.673211,1680869352,167,170,124,141,40,40,0,0
2023-04-07 12:39:12.673211,1680871152,167,164,124,127,40,41,0,0
2023-04-07 13:09:12.673211,1680872952,167,171,124,129,40,38,0,0
2023-04-07 13:39:12.673211,1680874752,167,185,124,136,40,48,0,0
2023-04-07 14:09:12.673211,1680876552,167,181,124,148,40,46,0,0
2023-04-07 14:39:12.673211,1680878352,167,200,124,140,40,42,0,0
2023-04-07 15:09:12.673211,1680880152,167,191,124,136,40,38,0,0
2023-04-07 15:39:12.673211,1680881952,167,185,124,140,40,44,0,0
2023-04-07 16:09:12.673211,1680883752,167,190,124,143,40,45,0,0
2023-04-07 16:39:12.673211,1680885552,167,186,124,141,40,45,0,0
2023-04-07 17:09:12.673211,1680887352,167,175,124,127,40,45,0,0
2023-04-07 17:39:12.673211,1680889152,167,180,124,137,40,44,0,0
2023-04-07 18:09:12.673211,1680890952,167,177,124,131,40,39,0,0
2023-04-07 18:39:12.673211,1680892752,167,177,124,125,40,37,0,0
2023-04-07 19:09:12.673211,1680894552,167,188,124,122,40,43,0,0
2023-04-07 19:39:12.673211,1680896352,167,173,124,120,40,45,0,0
2023-04-07 20:09:12.673211,1680898152,167,170,124,118,40,39,0,0
2023-04-07 20:39:12.673211,1680899952,167,162,124,125,40,30,0,0
2023-04-07 21:09:12.673211,1680901752,167,161,124,113,40,33,0,0
2023-04-07 21:39:12.673211,1680903552,167,155,124,118,40,33,0,0
2023-04-07 22:09:12.673211,1680905352,167,150,124,112,40,33,0,0
2023-04-07 22:39:12.673211,1680907152,167,138,124,117,40,35,0,0
2023-04-07 23:09:12.673211,1680908952,167,130,124,116,40,33,0,0
2023-04-07 23:39:12.673211,1680910752,167,133,124,117,40,28,0,0
2023-04-08 00:09:12.673211,1680912552,167,133,124,114,40,28,0,0
2023-04-08 00:39:12.673211,1680914352,167,141,124,108,40,28,0,0
2023-04-08 01:09:12.673211,1680916152,167,132,124,106,40,26,0,0
2023-04-08 01:39:12.673211,1680917952,167,130,124,111,40,24,0,0
2023-04-08 02:09:12.673211,1680919752,167,141,124,104,40,23,0,0
2023-04-08 02:39:12.673211,1680921552,167,163,124,108,40,27,0,0
2023-04-08 03:09:12.673211,1680923352,167,185,124,110,40,29,0,0
2023-04-08 03:39:12.673211,1680925152,167,155,124,115,40,30,0,0
2023-04-08 04:09:12.673211,1680926952,167,124,124,100,40,30,0,0
2023-04-08 04:39:12.673211,1680928752,167,139,124,104,40,34,0,0
2023-04-08 05:09:12.673211,1680930552,167,133,124,122,40,30,0,0
2023-04-08 05:39:12.673211,1680932352,167,140,124,122,40,35,0,0
2023-04-08 06:09:12.673211,1680934152,167,131,124,113,40,35,0,0
2023-04-08 06:39:12.673211,1680935952,167,142,124,109,40,40,0,0
2023-04-08 07:09:12.673211,1680937752,167,145,124,118,40,39,0,0
2023-04-08 07:39:12.673211,1680939552,167,144,124,117,40,45,0,0
2023-04-08 08:09:12.673211,1680941352,167,145,124,137,40,42,0,0
2023-04-08 08:39:12.673211,1680943152,167,155,124,141,40,46,0,0
2023-04-08 09:09:12.673211,1680944952,167,179,124,127,40,47,0,0
2023-04-08 09:39:12.673211,1680946752,167,159,124,133,40,44,0,0
2023-04-08 10:09:12.673211,1680948552,167,176,124,142,40,40,0,0
2023-04-08 10:39:12.673211,1680950352,167,172,124,129,40,39,0,0
2023-04-08 11:09:12.673211,1680952152,167,147,124,132,40,39,0,0
2023-04-08 11:39:12.673211,1680953952,167,149,124,133,40,42,0,0
2023-04-08 12:09:12.673211,1680955752,167,153,124,140,40,43,0,0
2023-04-08 12:39:12.673211,1680957552,167,162,124,136,40,43,0,0
2023-04-08 13:09:12.673211,1680959352,167,169,124,131,40,39,0,0
2023-04-08 13:39:12.673211,1680961152,167,158,124,134,40,42,0,0
2023-04-08 14:09:12.673211,1680962952,167,167,124,127,40,38,0,0
2023-04-08 14:39:12.673211,1680964752,167,162,124,119,40,38,0,0
2023-04-08 15:09:12.673211,1680966552,167,153,124,121,40,39,0,0
2023-04-08 15:39:12.673211,1680968352,167,144,124,126,40,42,0,0
2023-04-08 16:09:12.673211,1680970152,167,160,124,133,40,43,0,0
2023-04-08 16:39:12.673211,1680971952,167,166,124,128,40,50,0,0
2023-04-08 17:09:12.673211,1680973752,167,173,124,129,40,47,0,0
2023-04-08 17:39:12.673211,1680975552,167,171,124,124,40,40,0,0
2023-04-08 18:09:12.673211,1680977352,167,178,124,125,40,38,0,0
2023-04-08 18:39:12.673211,1680979152,167,173,124,130,40,39,0,0
2023-04-08 19:09:12.673211,1680980952,167,166,124,122,40,35,0,0
2023-04-08 19:39:12.673211,1680982752,167,157,124,119,40,37,0,0
2023-04-08 20:09:12.673211,1680984552,167,165,124,115,40,33,0,0
2023-04-08 20:39:12.673211,1680986352,167,166,124,115,40,30,0,0
2023-04-08 21:09:12.673211,1680988152,167,165,124,116,40,29,0,0
2023-04-08 21:39:12.673211,1680989952,167,148,124,119,40,32,0,0
2023-04-08 22:09:12.673211,1680991752,167,170,124,112,40,32,0,0
2023-04-08 22:39:12.673211,1680993552,167,148,124,110,40,29,0,0
2023-04-08 23:09:12.673211,1680995352,167,144,124,106,40,27,0,0
2023-04-08 23:39:12.673211,1680997152,167,147,124,105,40,25,0,0
2023-04-09 00:09:12.673211,1680998952,167,140,124,111,40,26,0,0
2023-04-09 00:39:12.673211,1681000752,167,127,124,110,40,28,0,0
2023-04-09 01:09:12.673211,1681002552,167,130,124,102,40,27,0,0
2023-04-09 01:39:12.673211,1681004352,167,141,124,102,40,28,0,0
2023-04-09 02:09:12.673211,1681006152,167,140,124,108,40,36,0,0
2023-04-09 02:39:12.673211,1681007952,167,138,124,111,40,28,0,0
2023-04-09 03:09:12.673211,1681009752,167,141,124,111,40,25,0,0
2023-04-09 03:39:12.673211,1681011552,167,165,124,98,40,30,0,0
2023-04-09 04:09:12.673211,1681013352,167,153,124,102,40,34,0,0
2023-04-09 04:39:12.673211,1681015152,167,143,124,114,40,32,0,0
2023-04-09 05:09:12.673211,1681016952,167,127,124,124,40,33,0,0
2023-04-09 05:39:12.673211,1681018752,167,132,124,109,40,31,0,0
2023-04-09 06:09:12.673211,1681020552,167,128,124,110,40,35,0,0
2023-04-09 06:39:12.673211,1681022352,167,154,124,103,40,33,0,0
2023-04-09 07:09:12.673211,1681024152,167,167,124,111,40,33,0,0
2023-04-09 07:39:12.673211,1681025952,167,146,124,117,40,36,0,0
2023-04-09 08:09:12.673211,1681027752,167,164,124,112,40,37,0,0
2023-04-09 08:39:12.673211,1681029552,167,154,124,118,40,39,0,0
2023-04-09 09:09:12.673211,1681031352,167,151,124,123,40,39,0,0
2023-04-09 09:39:12.673211,1681033152,167,152,124,127,40,36,0,0
2023-04-09 10:09:12.673211,1681034952,167,156,124,118,40,37,0,0
2023-04-09 10:39:12.673211,1681036752,167,172,124,120,40,37,0,0
2023-04-09 11:09:12.673211,1681038552,167,179,124,119,40,39,0,0
2023-04-09 11:39:12.673211,1681040352,167,176,124,120,40,42,0,0
2023-04-09 12:09:12.673211,1681042152,167,184,124,130,40,40,0,0
2023-04-09 12:39:12.673211,1681043952,167,166,124,118,40,37,0,0
2023-04-09 13:09:12.673211,1681045752,167,149,124,117,40,37,0,0
2023-04-09 13:39:12.673211,1681047552,167,147,124,126,40,36,0,0
2023-04-09 14:09:12.673211,1681049352,167,155,124,123,40,38,0,0
2023-04-09 14:39:12.673211,1681051152,167,156,124,124,40,37,0,0
2023-04-09 15:09:12.673211,1681052952,167,166,124,119,40,36,0,0
2023-04-09 15:39:12.673211,1681054752,167,154,124,116,40,36,0,0
2023-04-09 16:09:12.673211,1681056552,167,160,124,119,40,34,0,0
2023-04-09 16:39:12.673211,1681058352,167,154,124,122,40,33,0,0
2023-04-09 17:09:12.673211,1681060152,167,164,124,122,40,35,0,0
2023-04-09 17:39:12.673211,1681061952,167,161,124,118,40,37,0,0
2023-04-09 18:09:12.673211,1681063752,167,173,124,117,40,38,0,0
2023-04-09 18:39:12.673211,1681065552,167,177,124,119,40,40,0,0
2023-04-09 19:09:12.673211,1681067352,167,198,124,116,40,35,0,0
2023-04-09 19:39:12.673211,1681069152,167,150,124,116,40,35,0,0
2023-04-09 20:09:12.673211,1681070952,167,160,124,104,40,36,0,0
2023-04-09 20:39:12.673211,1681072752,167,157,124,104,40,35,0,0
2023-04-09 21:09:12.673211,1681074552,167,162,124,111,40,29,0,0
2023-04-09 21:39:12.673211,1681076352,167,156,124,106,40,32,0,0
2023-04-09 22:09:12.673211,1681078152,167,140,124,101,40,33,0,0
2023-04-09 22:39:12.673211,1681079952,167,133,124,98,40,35,0,0
2023-04-09 23:09:12.673211,1681081752,167,164,124,97,40,31,0,0
2023-04-09 23:39:12.673211,1681083552,167,149,124,96,40,28,0,0
2023-04-10 00:09:12.673211,1681085352,167,132,124,105,40,75,0,0
2023-04-10 00:39:12.673211,1681087152,167,133,124,101,40,35,0,0
2023-04-10 01:09:12.673211,1681088952,167,152,124,113,40,35,0,0
2023-04-10 01:39:12.673211,1681090752,167,161,124,108,40,35,0,0
2023-04-10 02:09:12.673211,1681092552,167,136,124,95,40,35,0,0
2023-04-10 02:39:12.673211,1681094352,167,133,124,97,40,35,0,0
2023-04-10 03:09:12.673211,1681096152,167,131,124,94,40,32,0,0
2023-04-10 03:39:12.673211,1681097952,167,130,124,92,40,31,0,0
2023-04-10 04:09:12.673211,1681099752,167,135,124,96,40,33,0,0
