timestamp,timestamp_unix,d_6-3,dt_6-3,d_6-5,dt_6-5
2023-04-08 06:40:46.411448,1680936046,198,158,119,94
2023-04-08 07:10:46.411448,1680937846,198,158,119,98
2023-04-08 07:40:46.411448,1680939646,198,173,119,103
2023-04-08 08:10:46.411448,1680941446,198,199,119,109
2023-04-08 08:40:46.411448,1680943246,198,198,119,116
2023-04-08 09:10:46.411448,1680945046,198,187,119,136
2023-04-08 09:40:46.411448,1680946846,198,199,119,147
2023-04-08 10:10:46.411448,1680948646,198,197,119,141
2023-04-08 10:40:46.411448,1680950446,198,196,119,152
2023-04-08 11:10:46.411448,1680952246,198,205,119,148
2023-04-08 11:40:46.411448,1680954046,198,208,119,143
2023-04-08 12:10:46.411448,1680955846,198,203,119,157
2023-04-08 12:40:46.411448,1680957646,198,200,119,150
2023-04-08 13:10:46.411448,1680959446,198,188,119,156
2023-04-08 13:40:46.411448,1680961246,198,198,119,149
2023-04-08 14:10:46.411448,1680963046,198,196,119,146
2023-04-08 14:40:46.411448,1680964846,198,196,119,136
2023-04-08 15:10:46.411448,1680966646,198,191,119,146
2023-04-08 15:40:46.411448,1680968446,198,203,119,139
2023-04-08 16:10:46.411448,1680970246,198,195,119,119
2023-04-08 16:40:46.411448,1680972046,198,194,119,136
2023-04-08 17:10:46.411448,1680973846,198,190,119,141
2023-04-08 17:40:46.411448,1680975646,198,192,119,116
2023-04-08 18:10:46.411448,1680977446,198,173,119,115
2023-04-08 18:40:46.411448,1680979246,198,169,119,114
2023-04-08 19:10:46.411448,1680981046,198,162,119,106
2023-04-08 19:40:46.411448,1680982846,198,173,119,105
2023-04-08 20:10:46.411448,1680984646,198,172,119,99
2023-04-08 20:40:46.411448,1680986446,198,159,119,101
2023-04-08 21:10:46.411448,1680988246,198,158,119,104
2023-04-08 21:40:46.411448,1680990046,198,151,119,98
2023-04-08 22:10:46.411448,1680991846,198,149,119,93
2023-04-08 22:40:46.411448,1680993646,198,139,119,93
2023-04-08 23:10:46.411448,1680995446,198,139,119,98
2023-04-08 23:40:46.411448,1680997246,198,136,119,97
2023-04-09 00:10:46.411448,1680999046,198,133,119,95
2023-04-09 00:40:46.411448,1681000846,198,132,119,94
2023-04-09 01:10:46.411448,1681002646,198,133,119,97
2023-04-09 01:40:46.411448,1681004446,198,132,119,95
2023-04-09 02:10:46.411448,1681006246,198,135,119,97
2023-04-09 02:40:46.411448,1681008046,198,136,119,96
2023-04-09 03:10:46.411448,1681009846,198,138,119,98
2023-04-09 03:40:46.411448,1681011646,198,148,119,95
2023-04-09 04:10:46.411448,1681013446,198,137,119,92
2023-04-09 04:40:46.411448,1681015246,198,142,119,89
2023-04-09 05:10:46.411448,1681017046,198,142,119,95
2023-04-09 05:40:46.411448,1681018846,198,140,119,90
2023-04-09 06:10:46.411448,1681020646,198,141,119,84
2023-04-09 06:40:46.411448,1681022446,198,152,119,87
2023-04-09 07:10:46.411448,1681024246,198,154,119,91
2023-04-09 07:40:46.411448,1681026046,198,159,119,94
2023-04-09 08:10:46.411448,1681027846,198,169,119,94
2023-04-09 08:40:46.411448,1681029646,198,179,119,102
2023-04-09 09:10:46.411448,1681031446,198,170,119,99
2023-04-09 09:40:46.411448,1681033246,198,181,119,100
2023-04-09 10:10:46.411448,1681035046,198,171,119,105
2023-04-09 10:40:46.411448,1681036846,198,169,119,111
2023-04-09 11:10:46.411448,1681038646,198,170,119,108
2023-04-09 11:40:46.411448,1681040446,198,171,119,105
2023-04-09 12:10:46.411448,1681042246,198,179,119,107
2023-04-09 12:40:46.411448,1681044046,198,178,119,107
2023-04-09 13:10:46.411448,1681045846,198,174,119,108
2023-04-09 13:40:46.411448,1681047646,198,182,119,105
2023-04-09 14:10:46.411448,1681049446,198,178,119,101
2023-04-09 14:40:46.411448,1681051246,198,183,119,103
2023-04-09 15:10:46.411448,1681053046,198,184,119,105
2023-04-09 15:40:46.411448,1681054846,198,172,119,108
2023-04-09 16:10:46.411448,1681056646,198,178,119,106
2023-04-09 16:40:46.411448,1681058446,198,171,119,109
2023-04-09 17:10:46.411448,1681060246,198,178,119,108
2023-04-09 17:40:46.411448,1681062046,198,172,119,108
2023-04-09 18:10:46.411448,1681063846,198,166,119,103
2023-04-09 18:40:46.411448,1681065646,198,163,119,106
2023-04-09 19:10:46.411448,1681067446,198,159,119,100
2023-04-09 19:40:46.411448,1681069246,198,154,119,99
2023-04-09 20:10:46.411448,1681071046,198,152,119,97
2023-04-09 20:40:46.411448,1681072846,198,149,119,96
2023-04-09 21:10:46.411448,1681074646,198,148,119,94
2023-04-09 21:40:46.411448,1681076446,198,140,119,87
2023-04-09 22:10:46.411448,1681078246,198,133,119,88
2023-04-09 22:40:46.411448,1681080046,198,134,119,87
2023-04-09 23:10:46.411448,1681081846,198,136,119,91
2023-04-09 23:40:46.411448,1681083646,198,143,119,90
2023-04-10 00:10:46.411448,1681085446,198,145,119,90
2023-04-10 00:40:46.411448,1681087246,198,132,119,92
2023-04-10 01:10:46.411448,1681089046,198,127,119,84
2023-04-10 01:40:46.411448,1681090846,198,116,119,84
2023-04-10 02:10:46.411448,1681092646,198,125,119,90
2023-04-10 02:40:46.411448,1681094446,198,127,119,87
2023-04-10 03:10:46.411448,1681096246,198,128,119,82
2023-04-10 03:40:46.411448,1681098046,198,138,119,79
2023-04-10 04:10:46.411448,1681099846,198,150,119,85
2023-04-10 04:40:46.411448,1681101646,198,165,119,91
2023-04-10 05:10:46.411448,1681103446,198,183,119,104
2023-04-10 05:40:46.411448,1681105246,198,234,119,141
2023-04-10 06:10:46.411448,1681107046,198,252,119,184
2023-04-10 06:40:46.411448,1681108846,198,284,119,179
2023-04-10 07:10:46.411448,1681110646,198,240,119,115
2023-04-10 07:40:46.411448,1681112446,198,218,119,107
2023-04-10 08:10:46.411448,1681114246,198,215,119,111
2023-04-10 08:40:46.411448,1681116046,198,202,119,111
2023-04-10 09:10:46.411448,1681117846,198,190,119,113
2023-04-10 09:40:46.411448,1681119646,198,203,119,116
2023-04-10 10:10:46.411448,1681121446,198,195,119,139
2023-04-10 10:40:46.411448,1681123246,198,187,119,139
2023-04-10 11:10:46.411448,1681125046,198,194,119,133
2023-04-10 11:40:46.411448,1681126846,198,196,119,137
2023-04-10 12:10:46.411448,1681128646,198,195,119,139
2023-04-10 12:40:46.411448,1681130446,198,202,119,135
2023-04-10 13:10:46.411448,1681132246,198,210,119,138
2023-04-10 13:40:46.411448,1681134046,198,217,119,158
2023-04-10 14:10:46.411448,1681135846,198,218,119,169
2023-04-10 14:40:46.411448,1681137646,198,213,119,167
2023-04-10 15:10:46.411448,1681139446,198,212,119,172
2023-04-10 15:40:46.411448,1681141246,198,218,119,171
2023-04-10 16:10:46.411448,1681143046,198,229,119,171
2023-04-10 16:40:46.411448,1681144846,198,216,119,151
2023-04-10 17:10:46.411448,1681146646,198,196,119,146
2023-04-10 17:40:46.411448,1681148446,198,186,119,117
2023-04-10 18:10:46.411448,1681150246,198,180,119,115
2023-04-10 18:40:46.411448,1681152046,198,162,119,109
2023-04-10 19:10:46.411448,1681153846,198,159,119,102
2023-04-10 19:40:46.411448,1681155646,198,151,119,102
2023-04-10 20:10:46.411448,1681157446,198,159,119,99
2023-04-10 20:40:46.411448,1681159246,198,155,119,94
2023-04-10 21:10:46.411448,1681161046,198,151,119,96
2023-04-10 21:40:46.411448,1681162846,198,152,119,94
2023-04-10 22:10:46.411448,1681164646,198,154,119,89
2023-04-10 22:40:46.411448,1681166446,198,150,119,89
2023-04-10 23:10:46.411448,1681168246,198,147,119,91
2023-04-10 23:40:46.411448,1681170046,198,133,119,88
2023-04-11 00:10:46.411448,1681171846,198,128,119,86
2023-04-11 00:40:46.411448,1681173646,198,143,119,95
2023-04-11 01:10:46.411448,1681175446,198,140,119,99
2023-04-11 01:40:46.411448,1681177246,198,130,119,85
2023-04-11 02:10:46.411448,1681179046,198,134,119,87
2023-04-11 02:40:46.411448,1681180846,198,134,119,82
2023-04-11 03:10:46.411448,1681182646,198,131,119,84
2023-04-11 03:40:46.411448,1681184446,198,152,119,89
2023-04-11 04:10:46.411448,1681186246,198,144,119,92
2023-04-11 04:40:46.411448,1681188046,198,170,119,90
2023-04-11 05:10:46.411448,1681189846,198,180,119,101
2023-04-11 05:40:46.411448,1681191646,198,216,119,133
2023-04-11 06:10:46.411448,1681193446,198,257,119,202
2023-04-11 06:40:46.411448,1681195246,198,287,119,189
2023-04-11 07:10:46.411448,1681197046,198,242,119,146
2023-04-11 07:40:46.411448,1681198846,198,215,119,111
2023-04-11 08:10:46.411448,1681200646,198,207,119,111
2023-04-11 08:40:46.411448,1681202446,198,194,119,113
2023-04-11 09:10:46.411448,1681204246,198,196,119,118
2023-04-11 09:40:46.411448,1681206046,198,204,119,146
2023-04-11 10:10:46.411448,1681207846,198,217,119,147
2023-04-11 10:40:46.411448,1681209646,198,215,119,162
2023-04-11 11:10:46.411448,1681211446,198,195,119,137
2023-04-11 11:40:46.411448,1681213246,198,198,119,141
2023-04-11 12:10:46.411448,1681215046,198,211,119,133
2023-04-11 12:40:46.411448,1681216846,198,223,119,140
2023-04-11 13:10:46.411448,1681218646,198,225,119,149
2023-04-11 13:40:46.411448,1681220446,198,219,119,158
2023-04-11 14:10:46.411448,1681222246,198,238,119,172
2023-04-11 14:40:46.411448,1681224046,198,241,119,186
2023-04-11 15:10:46.411448,1681225846,198,237,119,188
2023-04-11 15:40:46.411448,1681227646,198,235,119,189
2023-04-11 16:10:46.411448,1681229446,198,244,119,169
2023-04-11 16:40:46.411448,1681231246,198,236,119,160
2023-04-11 17:10:46.411448,1681233046,198,232,119,155
2023-04-11 17:40:46.411448,1681234846,198,201,119,130
2023-04-11 18:10:46.411448,1681236646,198,186,119,118
2023-04-11 18:40:46.411448,1681238446,198,175,119,114
2023-04-11 19:10:46.411448,1681240246,198,165,119,111
2023-04-11 19:40:46.411448,1681242046,198,170,119,103
2023-04-11 20:10:46.411448,1681243846,198,147,119,93
2023-04-11 20:40:46.411448,1681245646,198,147,119,92
2023-04-11 21:10:46.411448,1681247446,198,158,119,95
2023-04-11 21:40:46.411448,1681249246,198,142,119,99
2023-04-11 22:10:46.411448,1681251046,198,149,119,92
2023-04-11 22:40:46.411448,1681252846,198,138,119,93
2023-04-11 23:10:46.411448,1681254646,198,129,119,90
2023-04-11 23:40:46.411448,1681256446,198,121,119,89
2023-04-12 00:10:46.411448,1681258246,198,127,119,92
2023-04-12 00:40:46.411448,1681260046,198,141,119,90
2023-04-12 01:10:46.411448,1681261846,198,129,119,90
2023-04-12 01:40:46.411448,1681263646,198,138,119,93
2023-04-12 02:10:46.411448,1681265446,198,145,119,87
2023-04-12 02:40:46.411448,1681267246,198,150,119,84
2023-04-12 03:10:46.411448,1681269046,198,132,119,87
2023-04-12 03:40:46.411448,1681270846,198,137,119,87
2023-04-12 04:10:46.411448,1681272646,198,148,119,83
2023-04-12 04:40:46.411448,1681274446,198,164,119,89
2023-04-12 05:10:46.411448,1681276246,198,191,119,103
2023-04-12 05:40:46.411448,1681278046,198,214,119,135
2023-04-12 06:10:46.411448,1681279846,198,235,119,183
2023-04-12 06:40:46.411448,1681281646,198,253,119,173
2023-04-12 07:10:46.411448,1681283446,198,219,119,119
2023-04-12 07:40:46.411448,1681285246,198,216,119,111
2023-04-12 08:10:46.411448,1681287046,198,200,119,113
2023-04-12 08:40:46.411448,1681288846,198,179,119,115
2023-04-12 09:10:46.411448,1681290646,198,188,119,114
2023-04-12 09:40:46.411448,1681292446,198,197,119,138
2023-04-12 10:10:46.411448,1681294246,198,196,119,156
2023-04-12 10:40:46.411448,1681296046,198,206,119,155
2023-04-12 11:10:46.411448,1681297846,198,202,119,157
2023-04-12 11:40:46.411448,1681299646,198,200,119,148
2023-04-12 12:10:46.411448,1681301446,198,204,119,141
2023-04-12 12:40:46.411448,1681303246,198,199,119,145
2023-04-12 13:10:46.411448,1681305046,198,203,119,141
2023-04-12 13:40:46.411448,1681306846,198,216,119,152
2023-04-12 14:10:46.411448,1681308646,198,218,119,162
2023-04-12 14:40:46.411448,1681310446,198,221,119,161
2023-04-12 15:10:46.411448,1681312246,198,222,119,170
2023-04-12 15:40:46.411448,1681314046,198,233,119,180
2023-04-12 16:10:46.411448,1681315846,198,238,119,171
2023-04-12 16:40:46.411448,1681317646,198,222,119,159
2023-04-12 17:10:46.411448,1681319446,198,210,119,137
2023-04-12 17:40:46.411448,1681321246,198,208,119,118
2023-04-12 18:10:46.411448,1681323046,198,180,119,114
2023-04-12 18:40:46.411448,1681324846,198,161,119,113
2023-04-12 19:10:46.411448,1681326646,198,163,119,114
2023-04-12 19:40:46.411448,1681328446,198,163,119,111
2023-04-12 20:10:46.411448,1681330246,198,159,119,105
2023-04-12 20:40:46.411448,1681332046,198,151,119,104
2023-04-12 21:10:46.411448,1681333846,198,147,119,93
2023-04-12 21:40:46.411448,1681335646,198,142,119,91
2023-04-12 22:10:46.411448,1681337446,198,145,119,93
2023-04-12 22:40:46.411448,1681339246,198,130,119,91
2023-04-12 23:10:46.411448,1681341046,198,139,119,94
2023-04-12 23:40:46.411448,1681342846,198,136,119,97
2023-04-13 00:10:46.411448,1681344646,198,135,119,108
2023-04-13 00:40:46.411448,1681346446,198,141,119,97
2023-04-13 01:10:46.411448,1681348246,198,140,119,97
2023-04-13 01:40:46.411448,1681350046,198,145,119,86
2023-04-13 02:10:46.411448,1681351846,198,147,119,87
2023-04-13 02:40:46.411448,1681353646,198,131,119,96
2023-04-13 03:10:46.411448,1681355446,198,129,119,88
2023-04-13 03:40:46.411448,1681357246,198,134,119,83
2023-04-13 04:10:46.411448,1681359046,198,151,119,85
2023-04-13 04:40:46.411448,1681360846,198,184,119,91
2023-04-13 05:10:46.411448,1681362646,198,191,119,105
2023-04-13 05:40:46.411448,1681364446,198,238,119,148
2023-04-13 06:10:46.411448,1681366246,198,262,119,198
2023-04-13 06:40:46.411448,1681368046,198,298,119,196
2023-04-13 07:10:46.411448,1681369846,198,241,119,150
2023-04-13 07:40:46.411448,1681371646,198,216,119,115
2023-04-13 08:10:46.411448,1681373446,198,203,119,119
2023-04-13 08:40:46.411448,1681375246,198,194,119,116
2023-04-13 09:10:46.411448,1681377046,198,198,119,114
2023-04-13 09:40:46.411448,1681378846,198,205,119,139
2023-04-13 10:10:46.411448,1681380646,198,208,119,153
2023-04-13 10:40:46.411448,1681382446,198,203,119,150
2023-04-13 11:10:46.411448,1681384246,198,208,119,139
2023-04-13 11:40:46.411448,1681386046,198,214,119,136
2023-04-13 12:10:46.411448,1681387846,198,214,119,139
2023-04-13 12:40:46.411448,1681389646,198,218,119,141
2023-04-13 13:10:46.411448,1681391446,198,219,119,144
2023-04-13 13:40:46.411448,1681393246,198,226,119,164
2023-04-13 14:10:46.411448,1681395046,198,232,119,173
2023-04-13 14:40:46.411448,1681396846,198,232,119,188
2023-04-13 15:10:46.411448,1681398646,198,228,119,184
2023-04-13 15:40:46.411448,1681400446,198,244,119,185
2023-04-13 16:10:46.411448,1681402246,198,241,119,182
2023-04-13 16:40:46.411448,1681404046,198,238,119,166
2023-04-13 17:10:46.411448,1681405846,198,229,119,146
2023-04-13 17:40:46.411448,1681407646,198,191,119,131
2023-04-13 18:10:46.411448,1681409446,198,186,119,136
2023-04-13 18:40:46.411448,1681411246,198,173,119,120
2023-04-13 19:10:46.411448,1681413046,198,164,119,111
2023-04-13 19:40:46.411448,1681414846,198,171,119,108
2023-04-13 20:10:46.411448,1681416646,198,160,119,103
2023-04-13 20:40:46.411448,1681418446,198,166,119,99
2023-04-13 21:10:46.411448,1681420246,198,171,119,98
2023-04-13 21:40:46.411448,1681422046,198,152,119,97
2023-04-13 22:10:46.411448,1681423846,198,145,119,96
2023-04-13 22:40:46.411448,1681425646,198,136,119,96
2023-04-13 23:10:46.411448,1681427446,198,142,119,95
2023-04-13 23:40:46.411448,1681429246,198,134,119,100
2023-04-14 00:10:46.411448,1681431046,198,144,119,103
2023-04-14 00:40:46.411448,1681432846,198,130,119,91
2023-04-14 01:10:46.411448,1681434646,198,130,119,85
2023-04-14 01:40:46.411448,1681436446,198,133,119,83
2023-04-14 02:10:46.411448,1681438246,198,128,119,84
2023-04-14 02:40:46.411448,1681440046,198,135,119,83
2023-04-14 03:10:46.411448,1681441846,198,140,119,86
2023-04-14 03:40:46.411448,1681443646,198,154,119,83
2023-04-14 04:10:46.411448,1681445446,198,157,119,85
2023-04-14 04:40:46.411448,1681447246,198,165,119,87
2023-04-14 05:10:46.411448,1681449046,198,179,119,98
2023-04-14 05:40:46.411448,1681450846,198,211,119,112
2023-04-14 06:10:46.411448,1681452646,198,215,119,151
2023-04-14 06:40:46.411448,1681454446,198,232,119,145
2023-04-14 07:10:46.411448,1681456246,198,210,119,112
2023-04-14 07:40:46.411448,1681458046,198,213,119,113
2023-04-14 08:10:46.411448,1681459846,198,204,119,141
2023-04-14 08:40:46.411448,1681461646,198,198,119,119
2023-04-14 09:10:46.411448,1681463446,198,212,119,119
2023-04-14 09:40:46.411448,1681465246,198,208,119,140
2023-04-14 10:10:46.411448,1681467046,198,207,119,151
2023-04-14 10:40:46.411448,1681468846,198,208,119,151
2023-04-14 11:10:46.411448,1681470646,198,197,119,139
2023-04-14 11:40:46.411448,1681472446,198,196,119,138
2023-04-14 12:10:46.411448,1681474246,198,199,119,148
2023-04-14 12:40:46.411448,1681476046,198,201,119,152
2023-04-14 13:10:46.411448,1681477846,198,218,119,150
